id,name,zh,country,slug,status,match_score,repo_path,svg,png,webp,error
1,AZ Alkmaar,阿尔克马尔,Netherlands,az-alkmaar,OK,134.0,logos/netherlands/AZ_Alkmaar.svg,svg/01_az-alkmaar.svg,png_256/01_az-alkmaar.png,webp_128/01_az-alkmaar.webp,
2,Anderlecht,安德莱赫特,Belgium,anderlecht,OK,134.0,logos/belgium/RSC_Anderlecht.svg,svg/02_anderlecht.svg,png_256/02_anderlecht.png,webp_128/02_anderlecht.webp,
3,Ararat-Armenia,阿拉拉特-亚美尼亚,Armenia,ararat-armenia,OK,134.0,logos/armenia/Ararat-Armenia.svg,svg/03_ararat-armenia.svg,png_256/03_ararat-armenia.png,webp_128/03_ararat-armenia.webp,
4,Benfica,本菲卡,Portugal,benfica,OK,134.0,logos/portugal/Benfica.svg,svg/04_benfica.svg,png_256/04_benfica.png,webp_128/04_benfica.webp,
5,Besiktas,贝西克塔斯,Turkey,besiktas,OK,134.0,logos/turkey/Beşiktaş.svg,svg/05_besiktas.svg,png_256/05_besiktas.png,webp_128/05_besiktas.webp,
6,Bournemouth,伯恩茅斯,England,bournemouth,OK,134.0,logos/england/Bournemouth.svg,svg/06_bournemouth.svg,png_256/06_bournemouth.png,webp_128/06_bournemouth.webp,
7,Celje,采列,Slovenia,celje,OK,134.0,logos/slovenia/Celje.svg,svg/07_celje.svg,png_256/07_celje.png,webp_128/07_celje.webp,
8,Celta Vigo,塞尔塔,Spain,celta-vigo,OK,114.0,logos/spain/Celta.svg,svg/08_celta-vigo.svg,png_256/08_celta-vigo.png,webp_128/08_celta-vigo.webp,
9,Celtic,凯尔特人,Scotland,celtic,OK,134.0,logos/scotland/Celtic.svg,svg/09_celtic.svg,png_256/09_celtic.png,webp_128/09_celtic.webp,
10,Crystal Palace,水晶宫,England,crystal-palace,OK,134.0,logos/england/Crystal_Palace.svg,svg/10_crystal-palace.svg,png_256/10_crystal-palace.png,webp_128/10_crystal-palace.webp,
11,Ferencvaros,费伦茨瓦罗斯,Hungary,ferencvaros,OK,134.0,logos/hungary/Ferencváros.svg,svg/11_ferencvaros.svg,png_256/11_ferencvaros.png,webp_128/11_ferencvaros.webp,
12,GNK Dinamo Zagreb,萨格勒布迪纳摩,Croatia,gnk-dinamo-zagreb,OK,134.0,logos/croatia/GNK_Dinamo_Zagreb.svg,svg/12_gnk-dinamo-zagreb.svg,png_256/12_gnk-dinamo-zagreb.png,webp_128/12_gnk-dinamo-zagreb.webp,
13,Hapoel Beer-Sheva,贝尔谢巴工人,Israel,hapoel-beer-sheva,OK,134.0,logos/israel/Hapoel_Be'er_Sheva.svg,svg/13_hapoel-beer-sheva.svg,png_256/13_hapoel-beer-sheva.png,webp_128/13_hapoel-beer-sheva.webp,
14,Hoffenheim,霍芬海姆,Germany,hoffenheim,OK,134.0,logos/germany/Hoffenheim.svg,svg/14_hoffenheim.svg,png_256/14_hoffenheim.png,webp_128/14_hoffenheim.webp,
